SMILES,MTase IC50 (micromolar),Delta Tm - SAH/nsp14 (degrees Celsius),Cell EC50 (micromolar)
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.021,8.17,5.53
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N[C@H]2CCOc3ccccc32)n1C |a:18|,2.5,,
"Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N[C@H]2c3ccccc3C[C@H]2O)n1C |a:18,26|",23.8,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccc(N3CCCCC3)cc2)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccc(C(C)(C)O)cc2)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2-c2ccccc2)n1C,0.637,,
Cc1ccccc1C1(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)CC1,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCC3(CCOCC3)C2)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCOCC2c2ccccc2Cl)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccnc3ccccc23)n1C,0.331,,
Cc1cc(C)c(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c(=O)[nH]1,1.85,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2C(F)F)n1C,0.324,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc(C(F)F)c2)n1C,0.533,,
Cc1cccn2c(CNC(=O)c3cc(S(=O)(=O)N4CCC(C)CC4)c(C)n3C)nnc12,10.1,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccc3ncccc3c2)n1C,1.06,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2c(F)ccc3c2CCO3)n1C,0.034,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCN(CC3CC3)CC2)n1C,58,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC(c2ccccc2)c2ccccn2)n1C,2.28,,
